existing_artifact_path,model_or_configuration,artifact_kind,sha256,sequence_construction_code_version,pre_or_post_context_fix,training_seed_or_configuration,feeds_final_table_figure_or_combination,legacy_archive_path
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_small_scale_mean.csv,Hybrid-LogTarget-Small,prediction,4d9b2dc29d3eaa05228f38caa47b1865e11612a8e906def4f8884eaff9545362,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_logtarget_small_scale_mean.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_small_scale_qlike.csv,Hybrid-LogTarget-Small,prediction,d43d3e90530a864385959f0753125ecf21e429c31926f0e6ad5aa0f6abe0eeb1,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_logtarget_small_scale_qlike.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_qlike_affine_nonnegative.csv,Hybrid-QLIKE,prediction,18b11ebc80716df503519f2db46e7276eb9a2a5632f55977c73022e5d48c3a3b,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_qlike_affine_nonnegative.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_qlike_isotonic.csv,Hybrid-QLIKE,prediction,5a62e87b7f53e4858f9315b5c3f365eee39853905df3f7db99ade0425a42fdad,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_qlike_isotonic.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_qlike_scale_mean.csv,Hybrid-QLIKE,prediction,e193528ab8a74b7645c217bdb5b29fee5a55ba8eaa6d1e2135630b659400af72,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_qlike_scale_mean.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_qlike_scale_qlike.csv,Hybrid-QLIKE,prediction,7c1337bf1059430f7e65cc9a37195e748f6f71bb146c068099dfbe6a64e9516b,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_hybrid_qlike_scale_qlike.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_affine_nonnegative.csv,calibrated_neural_variant,prediction,abae716e21e7b9753e853e47af0f05f4609eb322464c06fac097d73096bdeb17,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_affine_nonnegative.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_isotonic.csv,calibrated_neural_variant,prediction,07764bfb1ef49399d491b1c962a5de0b7fcf5f3f1064aae6c1330823dc5f9956,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_isotonic.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_logtarget_affine_nonnegative.csv,LSTM-LogTarget,prediction,8b63daeb44d7337310633ce27565e9054f650ba7425144b948cf0b0ad395c822,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_logtarget_affine_nonnegative.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_logtarget_isotonic.csv,LSTM-LogTarget,prediction,e649597c1a13b8b7d559312e691f753e41898aec8db9e226ded428c58ba86385,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_logtarget_isotonic.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_logtarget_scale_mean.csv,LSTM-LogTarget,prediction,32fd7ad1995ec64d9176ef4b1d0b416eb0a5833b497724ebf718f28db010bbe7,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_logtarget_scale_mean.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_logtarget_scale_qlike.csv,LSTM-LogTarget,prediction,72e14b57d16cdd3ace519d487fa81ea2a92c41c9a4e013472014860a60eda580,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_logtarget_scale_qlike.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_logtarget_small_affine_nonnegative.csv,LSTM-LogTarget-Small,prediction,c5b76a8b94afa644fa1462fa1faefa96d2bd610df3ce04982accf7bf7156f5da,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_logtarget_small_affine_nonnegative.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_logtarget_small_isotonic.csv,LSTM-LogTarget-Small,prediction,229e53b96a77b230d177d87f8cd4105d86d3f143f7d753da279db6e403f57195,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_logtarget_small_isotonic.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_logtarget_small_scale_mean.csv,LSTM-LogTarget-Small,prediction,5c03586a8ee3498411dc48d3d5f6e396e1a60b7e543fc45d54d1781146e25d06,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_logtarget_small_scale_mean.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_logtarget_small_scale_qlike.csv,LSTM-LogTarget-Small,prediction,3353044bc228f23b16af46f629ad63fb3b5ddf7a660a3c0f695a41b32244b73c,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_logtarget_small_scale_qlike.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_qlike_affine_nonnegative.csv,LSTM-QLIKE,prediction,dc9c304b4a53b172ea0ab1315daa4cb6bbd6583a06395e6098f0cb68a7b8626f,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_qlike_affine_nonnegative.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_qlike_isotonic.csv,LSTM-QLIKE,prediction,76df2b454d343ad95352c46f35a5265a0eed315fb5f0c99c5383d5d71c100418,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_qlike_isotonic.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_qlike_scale_mean.csv,LSTM-QLIKE,prediction,1935997cf47674f00a093729cca961b920ac98db2160cb4296f558599896f89b,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_qlike_scale_mean.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_qlike_scale_qlike.csv,LSTM-QLIKE,prediction,7421170ff29e80f50b3f1b77e1aeca1eef88e5707560bf63ac77dabeaca30703,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_qlike_scale_qlike.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_scale_mean.csv,calibrated_neural_variant,prediction,4e35f1cb4645fd1bab645295ec6e85d92d36df329aae29926531592706c14b1f,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_scale_mean.csv
outputs/advanced/predictions/calibrated_neural/pred_calibrated_lstm_scale_qlike.csv,calibrated_neural_variant,prediction,0658cdaed9e827a59d4e06a1633395a37c416fa7b3178a57924b9476e3c6de73,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_calibrated_lstm_scale_qlike.csv
outputs/advanced/predictions/forecast_combinations/pred_combomean_poola_econometric.csv,forecast_combination_neural_dependent,prediction,f615ab8ad87ce521f11141c01c026f22c090ab0f85e32575f68aaa3a979a24f2,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combomean_poola_econometric.csv
outputs/advanced/predictions/forecast_combinations/pred_combomean_poolb_garch_neural.csv,forecast_combination_neural_dependent,prediction,5772bc0d411e3e38a80577b6138facfe4face0f02f2bfefa4b23297fcacfe879,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combomean_poolb_garch_neural.csv
outputs/advanced/predictions/forecast_combinations/pred_combomean_poolc_garch_calibratedneural.csv,calibrated_neural_variant,prediction,0c5ab39e5e0443137fa2f04042aa3dd379c00b9517ec237aa6ec8a3ac40ddf1d,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combomean_poolc_garch_calibratedneural.csv
outputs/advanced/predictions/forecast_combinations/pred_combomean_poold_allstable.csv,forecast_combination_neural_dependent,prediction,17210b391167868c89649f75ddcc8166961609e496356dc09af613d3d993d0cc,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combomean_poold_allstable.csv
outputs/advanced/predictions/forecast_combinations/pred_combomedian_poola_econometric.csv,forecast_combination_neural_dependent,prediction,d4b001fd4bc8d658e3470b5b0864f0663bfb162969f18180bbc0bb3b677cd02c,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combomedian_poola_econometric.csv
outputs/advanced/predictions/forecast_combinations/pred_combomedian_poolb_garch_neural.csv,forecast_combination_neural_dependent,prediction,67be9dfc1702ee5976e2cad1271a765bc708894c38bc7d56359f4812ffd8eb0d,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combomedian_poolb_garch_neural.csv
outputs/advanced/predictions/forecast_combinations/pred_combomedian_poolc_garch_calibratedneural.csv,calibrated_neural_variant,prediction,982b54f0a5214bfe18b83f267450041da99731d135046c16f8551cf7e3b8cea9,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combomedian_poolc_garch_calibratedneural.csv
outputs/advanced/predictions/forecast_combinations/pred_combomedian_poold_allstable.csv,forecast_combination_neural_dependent,prediction,ea60d76c9b07e4c9095ddee6270aae090e13deb3ca3b349c8492113bdc310b3c,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combomedian_poold_allstable.csv
outputs/advanced/predictions/forecast_combinations/pred_combopair_bestgarchfamily_bestcalibratedneural.csv,calibrated_neural_variant,prediction,7bd92a10098a46ba36acff3217ffe021480ecbae4eec1b3a866e17fe7397f78f,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combopair_bestgarchfamily_bestcalibratedneural.csv
outputs/advanced/predictions/forecast_combinations/pred_combopair_bestgarchfamily_hybridqlike.csv,forecast_combination_neural_dependent,prediction,84b838232e08c8001251c8b470db032dade987d3953241d4efc15a205e5f0a81,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combopair_bestgarchfamily_hybridqlike.csv
outputs/advanced/predictions/forecast_combinations/pred_combopair_bestrefitgarch_bestcalibratedneural.csv,calibrated_neural_variant,prediction,4c9e9caa2fbb3f877578f4bd9a9d239eb0959158d0679315031ff59dba61485a,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combopair_bestrefitgarch_bestcalibratedneural.csv
outputs/advanced/predictions/forecast_combinations/pred_combopair_bestrefitgarch_hybridqlike.csv,forecast_combination_neural_dependent,prediction,436312df210eaf15232474b8c44c4aa59bec37a65caf4707669d91ea667a0886,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combopair_bestrefitgarch_hybridqlike.csv
outputs/advanced/predictions/forecast_combinations/pred_combopair_garch11_arimagarch.csv,forecast_combination_neural_dependent,prediction,5ea54a9f642909b561dc6ee81877d8f7503f10ddbeeb91b7033d81a35610f338,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combopair_garch11_arimagarch.csv
outputs/advanced/predictions/forecast_combinations/pred_combopair_garch11_hybridqlike.csv,forecast_combination_neural_dependent,prediction,fc8c18302877f408e62a1d54cc2f1946c6a139baa2e186dd9d8b0624e618ec4f,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combopair_garch11_hybridqlike.csv
outputs/advanced/predictions/forecast_combinations/pred_combostack_poola_econometric.csv,forecast_combination_neural_dependent,prediction,7e14035df0a9181cc0403d36f9d6012220a36adec279c288a58313ef629a4e5c,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combostack_poola_econometric.csv
outputs/advanced/predictions/forecast_combinations/pred_combostack_poolb_garch_neural.csv,forecast_combination_neural_dependent,prediction,3968a2d8782ad0e9a30ec2bc575edd2000367d6789878ba612cb12b30da45546,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combostack_poolb_garch_neural.csv
outputs/advanced/predictions/forecast_combinations/pred_combostack_poolc_garch_calibratedneural.csv,calibrated_neural_variant,prediction,c017853bdcf1e3f4d708e3cff695093e0579260e428ca94ff2b8a863755d8e5d,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combostack_poolc_garch_calibratedneural.csv
outputs/advanced/predictions/forecast_combinations/pred_combostack_poold_allstable.csv,forecast_combination_neural_dependent,prediction,70b653db71467d0add2f633f7cf3b7992c6d70f77d5c99d513a0ca6f817d8da0,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/pred_combostack_poold_allstable.csv
outputs/advanced/tables/table_forecast_combination_test.csv,forecast_combination_neural_dependent,metric_or_table,f6a50bb184a16032e688d4e97d8fd85b86e049c05235d9fbdce636becb53722e,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/table_forecast_combination_test.csv
outputs/advanced/tables/table_forecast_combination_validation.csv,forecast_combination_neural_dependent,metric_or_table,2482774c7a905329c7b6802d9464c7f157bc957f01eaa1e0321c8be51e436062,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/table_forecast_combination_validation.csv
outputs/advanced/tables/table_forecast_combination_weights.csv,forecast_combination_neural_dependent,metric_or_table,a2c0f1a729a6c3e40905e07a65c4598f5a2539f3b36fb330f647beb725b4491c,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/table_forecast_combination_weights.csv
outputs/advanced/tables/table_neural_calibration_prediction_files.csv,neural_derived,prediction,75878468af3159369acd0d84d6eac32956b40ef9eb5b31b940910c232d9bd797,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/table_neural_calibration_prediction_files.csv
outputs/advanced/tables/table_neural_calibration_test.csv,neural_derived,metric_or_table,3d224644549e5908d3cb593903ef64c5b558c7a35d5799c5c48860c5668d12b6,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/table_neural_calibration_test.csv
outputs/advanced/tables/table_neural_calibration_underprediction.csv,neural_derived,prediction,9bf8a382b9f45955f9eace3a29a85ca255cd7ca561056ea33b12446d4c9580bc,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/table_neural_calibration_underprediction.csv
outputs/advanced/tables/table_neural_calibration_validation.csv,neural_derived,metric_or_table,47e561d8b1f02f00834d012c99e1f426ce4b7229b52f6ba1086afb7d68bbdb6a,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,True,outputs/neural_legacy_pre_context_fix/advanced_neural_dependent/table_neural_calibration_validation.csv
outputs/metrics/lstm_metrics.csv,neural_derived,metric_or_table,98f1eb3c5b63582eb42f6d2949ca15fc9f268f4b02304970df662a4147b72cf1,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,False,outputs/neural_legacy_pre_context_fix/lstm_metrics.csv
outputs/metrics/lstm_metrics_test_only.csv,neural_derived,metric_or_table,856f820396f37773e2ef8902c7da07b6a092a2b8dcc697cf9ed9754b9b3aff7a,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,False,outputs/neural_legacy_pre_context_fix/lstm_metrics_test_only.csv
outputs/metrics/lstm_tuned/history_hybrid_logtarget.csv,Hybrid-LogTarget,metric_or_table,5a3b71b7dd0fc05e4d155a3714e93cfd166f4778be8433149b2822ad93b96620,current code has corrected context-aware sequence construction; artifact predates correction per verified project note,pre_context_fix_legacy_artifact,seed/config not fully recoverable from artifact; default scripts use seed 42 where documented,False,outputs/neural_legacy_pre_context_fix/history_hybrid_logtarget.csv
